2012,Anne Hathaway Award winner,Les Miserables,Fantine
2012,Sally Field,Lincoln,Mary Todd Lincoln
2012,Jacki Weaver,Silver Linings Playbook,Dolores Solitano
2013,Sally Hawkins,Blue Jasmine,Ginger
2013,June Squibb,Nebraska,Kate Grant
2013,Lupita Nyong'o Award winner,12 Years a Slave,Patsey
2013,Jennifer Lawrence,American Hustle,Rosalyn Rosenfeld
2013,Julia Roberts,August: Osage County,Barbara Weston-Fordham
2014,Keira Knightley,The Imitation Game,Joan Clarke
2014,Patricia Arquette Award winner,Boyhood,Olivia Evans
2014,Laura Dern,Wild,Bobbi Grey
2014,Emma Stone,Birdman,Sam Thomson
2014,Meryl Streep,Into the Woods,The Witch
