1987,Meryl Streep,Ironweed,Helen Archer
1988,Glenn Close,Dangerous Liaisons,Marquise Isabelle de Merteuil
1988,Jodie Foster Award winner,The Accused,Sarah Tobias
1988,Melanie Griffith,Working Girl,Tess McGill
1988,Meryl Streep,A Cry in the Dark,Lindy Chamberlain-Creighton
1988,Sigourney Weaver,Gorillas in the Mist,Dian Fossey
1989,Isabelle Adjani,Camille Claudel,Camille Claudel
1989,Pauline Collins,Shirley Valentine,Shirley Valentine-Bradshaw
1989,Jessica Lange,Music Box,Ann Talbot
1989,Michelle Pfeiffer,The Fabulous Baker Boys,Susie Diamond
1989,Jessica Tandy Award winner,Driving Miss Daisy,Daisy Werthan
1990,Kathy Bates Award winner,Misery,Annie Wilkes
1990,Anjelica Huston,The Grifters,Lilly Dillon
1990,Julia Roberts,Pretty Woman,Vivian Ward
1990,Meryl Streep,Postcards from the Edge,Suzanne Vale
1990,Joanne Woodward,Mr. & Mrs. Bridge,India Bridge
1991,Geena Davis,Thelma & Louise,Thelma Dickinson
1991,Laura Dern,Rambling Rose,Rose
1991,Jodie Foster Award winner,The Silence of the Lambs,Clarice Starling
1991,Bette Midler,For the Boys,Dixie Leonard
1991,Susan Sarandon,Thelma & Louise,Louise Sawyer
1992,Catherine Deneuve,Indochine,Eliane Devries
1992,Mary McDonnell,Passion Fish,May-Alice Culhane
1992,Michelle Pfeiffer,Love Field,Lurene Hallett
1992,Susan Sarandon,Lorenzo's Oil,Michaela Odone
1992,Emma Thompson Award winner,Howards End,Margaret Schlegel
1993,Angela Bassett,What's Love Got to Do with It,Tina Turner
1993,Stockard Channing,Six Degrees of Separation,Ouisa Kittredge
1993,Holly Hunter Award winner,The Piano,Ada McGrath
1993,Emma Thompson,The Remains of the Day,"Sarah ""Sally"" Kenton"
1993,Debra Winger,Shadowlands,Joy Gresham
1994,Jodie Foster,Nell,Nell Kellty
1994,Jessica Lange Award winner,Blue Sky,Carly Marshall
1994,Miranda Richardson,Tom & Viv,Vivienne Haigh-Wood
1994,Winona Ryder,Little Women,"Josephine ""Jo"" March"
1994,Susan Sarandon,The Client,"Regina ""Reggie"" Love"
1995,Susan Sarandon Award winner,Dead Man Walking,Helen Prejean
1995,Elisabeth Shue,Leaving Las Vegas,Sera
1995,Sharon Stone,Casino,Ginger McKenna
1995,Meryl Streep,The Bridges of Madison County,Francesca Johnson
1995,Emma Thompson,Sense and Sensibility,Elinor Dashwood
1996,Brenda Blethyn,Secrets & Lies,Cynthia Rose Purley
1996,Diane Keaton,Marvin's Room,Bessie Wakefield
1996,Frances McDormand Award winner,Fargo,Marge Gunderson
1996,Kristin Scott Thomas,The English Patient,Katharine Clifton
1996,Emily Watson,Breaking the Waves,Bess McNeill
1997,Helena Bonham Carter,The Wings of the Dove,Kate Croy
1997,Julie Christie,Afterglow,Phyllis Mann
1997,Judi Dench,Mrs Brown,Queen Victoria
1997,Helen Hunt Award winner,As Good as It Gets,Carol Connelly
1997,Kate Winslet,Titanic,Rose DeWitt Bukater
1998,Cate Blanchett,Elizabeth,Elizabeth I of England
1998,Fernanda Montenegro,Central Station,"Isadora ""Dora"" Teixeira"
1998,Gwyneth Paltrow Award winner,Shakespeare in Love,Viola De Lesseps
1998,Meryl Streep,One True Thing,Kate Gulden
1998,Emily Watson,Hilary and Jackie,Jacqueline du Pr_
1999,Annette Bening,American Beauty,Carolyn Burnham
