Year,Category,Nominee,Additional Info,Won?
2009 (82nd),Sound Editing,The Hurt Locker,Paul N.J. Ottosson,TRUE
2009 (82nd),Sound Editing,Inglourious Basterds,Wylie Stateman,FALSE
2009 (82nd),Sound Editing,Star Trek,Mark Stoeckinger and Alan Rankin,FALSE
2009 (82nd),Sound Editing,Up,Michael Silvers and Tom Myers,FALSE
2009 (82nd),Visual Effects,Avatar,Joe Letteri, Stephen Rosenbaum
2009 (82nd),Visual Effects,District 9,Dan Kaufman, Peter Muyzers
2009 (82nd),Visual Effects,Star Trek,Roger Guyett, Russell Earl
2009 (82nd),Writing,District 9,Written by Neill Blomkamp and Terri Tatchell,FALSE
2009 (82nd),Writing,An Education,Screenplay by Nick Hornby,FALSE
2009 (82nd),Writing,In the Loop,Screenplay by Jesse Armstrong, Simon Blackwell
2009 (82nd),Writing,Precious: Based on the Novel 'Push' by Sapphire,Screenplay by Geoffrey Fletcher,TRUE
2009 (82nd),Writing,Up in the Air,Screenplay by Jason Reitman and Sheldon Turner,FALSE
2009 (82nd),Writing,The Hurt Locker,Written by Mark Boal,TRUE
2009 (82nd),Writing,Inglourious Basterds,Written by Quentin Tarantino,FALSE
2009 (82nd),Writing,The Messenger,Written by Alessandro Camon & Oren Moverman,FALSE
2009 (82nd),Writing,A Serious Man,Written by Joel Coen & Ethan Coen,FALSE
2009 (82nd),Writing,Up,Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter
2009 (82nd),Honorary Award,To Lauren Bacall in recognition of her central place in the golden age of motion pictures.,,TRUE
2009 (82nd),Honorary Award,To Roger Corman for his rich engendering of films and filmmakers.,,TRUE
2009 (82nd),Honorary Award,To Gordon Willis for unsurpassed mastery of light, shadow, color and motion.
2009 (82nd),Irving G. Thalberg Memorial Award,John Calley,,TRUE
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To PER CHRISTENSEN, MICHAEL BUNNELL and CHRISTOPHE HERY for the development of point-based rendering for indirect illumination and ambient occlusion. Much faster than previous ray-traced methods, this computer graphics technique has enabled color bleeding effects and realistic shadows for complex scenes in motion pictures. [Digital Imaging Technology]
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To DR. RICHARD KIRK for the overall design and development of the Truelight real-time 3D look-up table hardware device and color management software. Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world. [Laboratory],
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To VOLKER MASSMANN, MARKUS HASENZAHL, DR. KLAUS ANDERLE and ANDREAS LOEW for the development of the Spirit 4K/2K film scanning system as used in the digital intermediate process for motion pictures. The Spirit 4K/2K has distinguished itself by incorporating a continuous-motion transport mechanism enabling full-range
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To MICHAEL CIESLINSKI, DR. REIMAR LENZ and BERND BRAUNER for the development of the ARRISCAN film scanner, enabling high-resolution
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To WOLFGANG LEMPP, THEO BROWN, TONY SEDIVY and DR. JOHN QUARTEL for the development of the Northlight film scanner
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To STEVE CHAPMAN, MARTIN TLASKAL, DARRIN SMART and DR. JAMES LOGIE for their contributions to the development of the Baselight color correction system
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To MARK JASZBERENYI, GYULA PRISKIN and TAMAS PERLAKI for their contributions to the development of the Lustre color correction system, which enables real-time digital manipulation of motion picture imagery during the digital intermediate process. Lustre is a software solution that enables non-linear
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To BRAD WALKER, D. SCOTT DEWALD, BILL WERNER and GREG PETTITT for their contributions furthering the design and refinement of the Texas Instruments DLP Projector technology
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To FUJIFILM CORPORATION, RYOJI NISHIMURA, MASAAKI MIKI and YOUICHI HOSOYA for the design and development of Fujicolor ETERNA-RDI digital intermediate film
2009 (82nd),Scientific and Technical (Scientific and Engineering Award),To PAUL DEBEVEC, TIM HAWKINS, JOHN MONOS and DR. MARK SAGAR for the design and engineering of the Light Stage capture devices and the image-based facial rendering system developed for character relighting in motion pictures. The combination of these systems
2009 (82nd),Scientific and Technical (Technical Achievement Award),To MARK WOLFORTH and TONY SEDIVY for their contributions to the development of the Truelight real-time 3D look-up table hardware system. Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world. [Laboratory],
2009 (82nd),Scientific and Technical (Technical Achievement Award),To DR. KLAUS ANDERLE, CHRISTIAN BAEKER and FRANK BILLASCH for their contributions to the LUTher 3D look-up table hardware device and color management software. The LUTher system was one of the first color look-up table processors to be widely adopted by the pioneering digital intermediate facilities in the industry. This innovation enabled accurate color presentation by facilities that had analyzed projected film output and built 3D look-up tables in order to emulate print film. [Laboratory],
2009 (82nd),Scientific and Technical (Technical Achievement Award),To STEVE SULLIVAN, KEVIN WOOLEY, BRETT ALLEN and COLIN DAVIDSON for the development of the Imocap on-set performance capture system. Developed at Industrial Light & Magic and consisting of custom hardware and software
